gene,mean_vst,min_vst,max_vst,min_percentile,mean_percentile,expression_category
Amblyomma-americanum_evm.model.contig-105242-1.1,4.189277839477629,3.0526067822923695,5.780403438642436,17,41,always
Amblyomma-americanum_evm.model.contig-105243-1.1,4.880738229396185,2.6765485560797906,7.011159779261703,12,55,always
Amblyomma-americanum_evm.model.contig-105498-1.1,3.5925845843442414,2.526026681488597,4.350673912066623,10,28,always
Amblyomma-americanum_evm.model.contig-105504-1.2,3.484847142642705,2.817333516626102,4.667586366586561,14,26,always
Amblyomma-americanum_evm.model.contig-10578-1.4,8.207696427005304,5.822206098023623,10.126961897394043,72,94,always
Amblyomma-americanum_evm.model.contig-10578-1.5,4.827387782994504,2.168489170865621,6.244512692885865,7,54,always
Amblyomma-americanum_evm.model.contig-105808-1.2,3.619997353633838,2.9698440153718346,4.985455763605487,16,29,always
Amblyomma-americanum_evm.model.contig-106244-1.2,2.799552031459784,1.0797411898676772,5.830220535997625,1,14,always
evm.TU.contig_106275_1.2,3.6398099114830615,1.1365906346321089,6.188063129542908,1,29,always
Amblyomma-americanum_evm.model.contig-106314-1.4,3.1389304368774438,1.4322443197820252,4.999764794284168,2,19,always
Amblyomma-americanum_evm.model.contig-106316-1.1,4.662630909848252,2.744688663419903,6.084947558645659,13,51,always
Amblyomma-americanum_evm.model.contig-106477-1.1,4.683352186819657,1.5454273351297043,6.88441686984427,3,51,always
Amblyomma-americanum_evm.model.contig-10649-1.1,4.678093807984813,3.4673407153010434,7.0018260209427465,26,51,always
Amblyomma-americanum_evm.model.contig-106556-1.3,6.263707950026672,5.104017542449202,7.323733529763065,60,78,always
Amblyomma-americanum_evm.model.contig-106590-1.2,3.7679112947179143,3.164313514766661,4.338878105382092,19,32,always
Amblyomma-americanum_evm.model.contig-106632-1.4,3.8131862749836993,2.0620922725260393,7.385768735443204,6,33,always
Amblyomma-americanum_evm.model.contig-106632-1.5,4.505745055136925,3.342316055726348,5.6030296111805065,23,47,always
Amblyomma-americanum_evm.model.contig-106632-1.6,5.592425728277323,3.3928086865739506,7.754102735619996,24,68,always
Amblyomma-americanum_evm.model.contig-106731-1.1,5.875637725647784,3.003176758546976,9.493896043027588,16,73,always
