Orthogroup	species_total	carto_total	carto_secreted	tick_total	tick_secreted	PI_cluster	percent_in_carto	percent_carto_secreted	percent_tick_secreted
OG0009247	11	11	11	13	11	{'BadTM-Kazal-A2M', nan}	84.61538461538461	100.0	84.61538461538461
OG0000677	13	50	50	72	56	{'BadTM-Kazal-IGF', nan}	69.44444444444444	100.0	77.77777777777777
OG0007096	13	11	11	14	11	{'BadTM-Kazal-IGF', nan}	78.57142857142857	100.0	78.57142857142857
OG0007881	15	16	16	18	16	{'WeakAnnotation-Kazal', nan}	88.88888888888889	100.0	88.88888888888889
OG0000480	14	33	5	52	18	{'BadTM-Kazal-A2M', nan}	63.46153846153846	15.151515151515152	34.61538461538461
OG0005859	15	16	16	30	16	{'WeakAnnotation-Kazal', nan}	53.333333333333336	100.0	53.333333333333336
OG0000890	14	76	63	81	63	{'BadTM-Kazal-IGF', nan}	93.82716049382717	82.89473684210526	77.77777777777777
OG0009632	11	11	11	13	11	{'BadTM-Kazal-A2M', nan}	84.61538461538461	100.0	84.61538461538461
OG0003200	14	37	37	48	37	{'BadTM-Kazal-IGF', nan}	77.08333333333333	100.0	77.08333333333333
OG0001404	13	56	56	69	56	{'BadTM-Kazal-IGF', nan}	81.15942028985508	100.0	81.15942028985508
OG0001324	15	55	55	70	55	{'BadTM-Kazal-IGF', nan}	78.57142857142857	100.0	78.57142857142857
OG0002328	12	19	19	28	19	{'BadTM-Kazal-IGF', nan}	67.85714285714286	100.0	67.85714285714286
OG0007894	14	12	12	18	12	{'BadTM-Kazal-A2M', nan}	66.66666666666667	100.0	66.66666666666667
OG0007962	10	10	10	13	10	{'BadTM-Kazal-IGF', nan}	76.92307692307692	100.0	76.92307692307692
OG0001145	13	20	20	36	20	{'WeakAnnotation-Kazal', nan}	55.55555555555556	100.0	55.55555555555556
OG0002054	14	33	33	58	33	{'BadTM-Kazal-IGF', nan}	56.89655172413793	100.0	56.89655172413793
OG0009090	13	12	12	15	12	{'BadTM-Kazal-IGF', 'BadTM-Kazal-A2M', nan}	80.0	100.0	80.0
OG0009059	14	12	12	15	12	{'WeakAnnotation-Kazal', nan}	80.0	100.0	80.0
OG0007868	11	12	12	13	12	{'BadTM-Kazal-A2M', nan}	92.3076923076923	100.0	92.3076923076923
OG0001316	14	24	24	39	24	{'BadTM-Kazal-A2M', nan}	61.53846153846154	100.0	61.53846153846154
OG0006622	12	11	11	13	11	{'WeakAnnotation-Kazal', nan}	84.61538461538461	100.0	84.61538461538461
OG0000204	15	42	6	78	35	{'BadTM-Kazal-A2M', nan}	53.84615384615385	14.285714285714286	44.87179487179487
